data,abertura,alta,baixa,fechamento
2025-09-17,5.2958,5.3086,5.2872,5.2958
2025-09-18,5.3101,5.3538,5.2662,5.3101
2025-09-19,5.3043,5.3379,5.296,5.3043
2025-09-22,5.3205,5.3638,5.3162,5.3205
2025-09-23,5.3343,5.3447,5.2816,5.3343
2025-09-24,5.2816,5.3178,5.2741,5.2816
2025-09-25,5.3299,5.354,5.3101,5.3299
2025-09-26,5.3637,5.3729,5.3324,5.3637
2025-09-29,5.3423,5.3655,5.304,5.3423
2025-09-30,5.3217,5.3386,5.3022,5.3217
2025-10-01,5.3195,5.3347,5.2871,5.3195
2025-10-02,5.3288,5.3699,5.3044,5.3288
2025-10-03,5.3366,5.3594,5.3236,5.3366
2025-10-06,5.3346,5.3647,5.3092,5.3346
2025-10-07,5.3112,5.3442,5.3032,5.3112
2025-10-08,5.3538,5.3611,5.327,5.3538
2025-10-09,5.3352,5.3681,5.3223,5.3352
2025-10-10,5.3772,5.4869,5.3577,5.3772
2025-10-13,5.523,5.5582,5.4462,5.523
2025-10-14,5.4641,5.5173,5.4584,5.4641
2025-10-15,5.4815,5.4957,5.4332,5.4815
2025-10-16,5.4493,5.4531,5.4203,5.4493
2025-10-17,5.4408,5.4577,5.4145,5.4408
2025-10-20,5.4061,5.437,5.3661,5.4061
2025-10-21,5.3687,5.4034,5.3634,5.3687
2025-10-22,5.3867,5.3995,5.3768,5.3867
2025-10-23,5.3994,5.4035,5.3727,5.3994
2025-10-24,5.3799,5.3977,5.3606,5.3899
