data,abertura,fechamento,alta,baixa
2025-05-19,5.6587,5.6587,5.6878,5.6283
2025-06-05,5.6321,5.6321,5.6435,5.5846
2025-06-30,5.4784,5.4784,5.5071,5.4232
2025-07-23,5.5639,5.5639,5.5752,5.5368
2025-08-08,5.4143,5.4143,5.4398,5.4071
2025-09-05,5.444,5.444,5.454,5.3804
2025-09-18,5.3101,5.3101,5.3538,5.2662
2025-05-06,5.6863,5.6863,5.7358,5.6786
2025-05-28,5.6374,5.6374,5.7111,5.6302
2025-06-24,5.4938,5.4938,5.5106,5.4746
2025-07-07,5.4194,5.4194,5.4681,5.4123
2025-08-28,5.4177,5.4177,5.4385,5.399
2025-09-08,5.4122,5.4122,5.4468,5.3996
2025-09-29,5.3423,5.3423,5.3655,5.304
2025-10-09,5.3352,5.3352,5.3681,5.3223
2025-04-01,5.6984,5.6984,5.7484,5.6815
2025-04-03,5.6637,5.6637,5.7476,5.5867
2025-04-11,5.8843,5.8843,5.9155,5.8152
2025-05-07,5.7128,5.7128,5.7461,5.6973
2025-07-03,5.4264,5.4264,5.4449,5.4027
2025-08-06,5.503,5.503,5.507,5.4588
2025-08-20,5.4976,5.4976,5.5112,5.4631
2025-08-21,5.4692,5.4692,5.4937,5.4653
2025-09-03,5.467,5.467,5.4975,5.4317
2025-10-06,5.3346,5.3346,5.3647,5.3092
2025-10-07,5.3112,5.3112,5.3442,5.3032
2025-10-15,5.4815,5.4815,5.4957,5.4332
2025-05-15,5.6365,5.6365,5.6499,5.6101
2025-06-06,5.5846,5.5846,5.6163,5.5686
2025-07-02,5.4588,5.4588,5.4874,5.4264
2025-07-17,5.5666,5.5666,5.6085,5.5533
2025-08-25,5.4214,5.4213,5.4486,5.3989
2025-09-16,5.3152,5.3152,5.3209,5.2967
2025-10-16,5.4493,5.4493,5.4531,5.4203
2025-10-23,5.3994,5.3994,5.4035,5.3727
2025-04-14,5.8642,5.8642,5.9198,5.8249
2025-06-10,5.558,5.557,5.5686,5.5374
2025-06-20,5.49,5.49,5.5121,5.4703
2025-07-09,5.4461,5.4461,5.4745,5.4393
2025-08-14,5.3912,5.3912,5.422,5.3863
2025-09-22,5.3205,5.3205,5.3638,5.3162
2025-04-08,5.9136,5.9136,5.9926,5.8615
2025-04-17,5.8654,5.8654,5.896,5.8256
2025-04-28,5.6847,5.6847,5.7345,5.6465
2025-05-05,5.6669,5.6669,5.7379,5.6256
2025-06-03,5.6724,5.6724,5.7102,5.6407
2025-08-12,5.4423,5.4423,5.4437,5.3874
2025-08-18,5.4004,5.4004,5.439,5.3925
2025-09-15,5.351,5.351,5.3591,5.3083
2025-04-15,5.8542,5.8542,5.8947,5.8285
2025-05-14,5.6005,5.6005,5.6313,5.5756
2025-05-26,5.6452,5.6452,5.6769,5.6358
2025-05-27,5.6666,5.6666,5.6868,5.638
2025-06-02,5.7208,5.7208,5.7881,5.6651
2025-07-14,5.5719,5.5719,5.5842,5.5367
2025-09-01,5.4324,5.4324,5.453,5.4135
2025-09-11,5.402,5.402,5.4209,5.3688
2025-09-23,5.3343,5.3343,5.3447,5.2816
2025-10-21,5.3687,5.3687,5.4034,5.3634
2025-10-22,5.3867,5.3867,5.3995,5.3768
2025-04-09,6.0133,6.0133,6.1182,6.0025
2025-04-25,5.6787,5.6787,5.7056,5.6713
2025-07-04,5.4093,5.4093,5.4228,5.3967
2025-07-18,5.5466,5.5466,5.5631,5.5201
2025-07-31,5.5754,5.5754,5.6214,5.5415
2025-08-01,5.5988,5.5988,5.6259,5.5246
2025-09-02,5.4384,5.4384,5.4988,5.4288
2025-10-03,5.3366,5.3366,5.3594,5.3236
2025-05-02,5.6771,5.6771,5.7517,5.621
2025-06-16,5.5389,5.5389,5.5853,5.4941
2025-06-25,5.5103,5.5103,5.5735,5.5021
2025-07-21,5.5781,5.5781,5.6044,5.5433
2025-07-28,5.5652,5.5652,5.6049,5.5511
2025-09-09,5.4203,5.4203,5.4366,5.411
2025-10-01,5.3195,5.3195,5.3347,5.2871
2025-04-30,5.62,5.62,5.6747,5.6006
2025-06-13,5.5373,5.5373,5.5923,5.5289
2025-06-23,5.5184,5.5184,5.5638,5.4957
2025-08-07,5.4589,5.4589,5.476,5.4497
2025-09-10,5.4336,5.4336,5.4375,5.3962
2025-09-17,5.2958,5.2958,5.3086,5.2872
2025-09-24,5.2816,5.2816,5.3178,5.2741
